CharCode,Name,Value,Previous,Timestamp
AUD,Австралийский доллар,52.9084,52.9072,2025-10-21T18:44:03.529827
AZN,Азербайджанский манат,47.8515,47.8578,2025-10-21T18:44:03.530204
DZD,Алжирских динаров,62.5571,62.6519,2025-10-21T18:44:03.530215
GBP,Фунт стерлингов,109.1358,108.9549,2025-10-21T18:44:03.530221
AMD,Армянских драмов,21.2657,21.2418,2025-10-21T18:44:03.530225
BHD,Бахрейнский динар,216.303,216.3315,2025-10-21T18:44:03.530229
BYN,Белорусский рубль,27.3162,27.2219,2025-10-21T18:44:03.530233
BGN,Болгарский лев,48.476,48.5903,2025-10-21T18:44:03.530236
BOB,Боливиано,11.7724,11.774,2025-10-21T18:44:03.530239
BRL,Бразильский реал,15.1294,14.9591,2025-10-21T18:44:03.530243
HUF,Форинтов,24.2633,24.35,2025-10-21T18:44:03.530246
VND,Донгов,32.4107,32.4123,2025-10-21T18:44:03.530249
HKD,Гонконгский доллар,10.4856,10.4904,2025-10-21T18:44:03.530252
GEL,Лари,30.0441,30.0448,2025-10-21T18:44:03.530256
DKK,Датская крона,12.6949,12.7239,2025-10-21T18:44:03.530259
AED,Дирхам ОАЭ,22.1504,22.1534,2025-10-21T18:44:03.530262
USD,Доллар США,81.3475,81.3582,2025-10-21T18:44:03.530265
EUR,Евро,94.6656,94.3845,2025-10-21T18:44:03.530268
EGP,Египетских фунтов,17.1048,17.1298,2025-10-21T18:44:03.530271
INR,Индийских рупий,92.6656,92.6778,2025-10-21T18:44:03.530275
IDR,Рупий,49.0488,49.0405,2025-10-21T18:44:03.530278
IRR,Иранских риалов,14.244,14.0824,2025-10-21T18:44:03.530281
KZT,Тенге,15.117,15.1697,2025-10-21T18:44:03.530285
CAD,Канадский доллар,57.9563,57.9681,2025-10-21T18:44:03.530288
QAR,Катарский риал,22.3482,22.3512,2025-10-21T18:44:03.530291
KGS,Сомов,93.0217,93.034,2025-10-21T18:44:03.530294
CNY,Юань,11.3645,11.354,2025-10-21T18:44:03.530297
CUP,Кубинских песо,33.8948,33.8993,2025-10-21T18:44:03.530301
MDL,Молдавских леев,48.0388,48.2978,2025-10-21T18:44:03.530304
MNT,Тугриков,22.6516,22.6423,2025-10-21T18:44:03.530307
NGN,Найр,55.5162,55.145,2025-10-21T18:44:03.530310
NZD,Новозеландский доллар,46.7789,46.6955,2025-10-21T18:44:03.530315
NOK,Норвежских крон,80.7483,81.0236,2025-10-21T18:44:03.530321
OMR,Оманский риал,211.567,211.5948,2025-10-21T18:44:03.530325
PLN,Злотый,22.2998,22.3825,2025-10-21T18:44:03.530328
SAR,Саудовский риял,21.6927,21.6955,2025-10-21T18:44:03.530331
RON,Румынский лей,18.5971,18.6465,2025-10-21T18:44:03.530334
XDR,СДР (специальные права заимствования),111.0947,111.2712,2025-10-21T18:44:03.530338
SGD,Сингапурский доллар,62.8312,62.9366,2025-10-21T18:44:03.530341
TJS,Сомони,88.3127,88.2831,2025-10-21T18:44:03.530345
THB,Батов,24.9609,24.8376,2025-10-21T18:44:03.530348
BDT,Так,66.6135,66.787,2025-10-21T18:44:03.530351
TRY,Турецких лир,19.408,19.4529,2025-10-21T18:44:03.530355
TMT,Новый туркменский манат,23.2421,23.2452,2025-10-21T18:44:03.530358
UZS,Узбекских сумов,67.4515,67.1924,2025-10-21T18:44:03.530361
UAH,Гривен,19.4872,19.484,2025-10-21T18:44:03.530364
CZK,Чешских крон,38.8331,39.0413,2025-10-21T18:44:03.530368
SEK,Шведских крон,86.2698,86.1601,2025-10-21T18:44:03.530371
CHF,Швейцарский франк,102.4915,102.6472,2025-10-21T18:44:03.530374
ETB,Эфиопских быров,54.343,54.1193,2025-10-21T18:44:03.530377
RSD,Сербских динаров,80.7447,81.0364,2025-10-21T18:44:03.530381
ZAR,Рэндов,46.9267,46.9868,2025-10-21T18:44:03.530384
KRW,Вон,57.2789,57.3147,2025-10-21T18:44:03.530387
JPY,Иен,53.8725,53.8939,2025-10-21T18:44:03.530390
MMK,Кьятов,38.7369,38.742,2025-10-21T18:44:03.530393
